date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:54	1014932/1014932	---M--	200	added ('OK')	text/css	etag:%22f7c94-5b26b6def98bd%22	https://motaadmin.dexignlab.com/xhtml/css/style.css	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/css/style.css	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:54	4863/4863	---M--	200	added ('OK')	image/jpeg	etag:%2212ff-5af0a8d057827%22	https://motaadmin.dexignlab.com/xhtml/images/avatar/2.jpg	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/images/avatar/2.jpg	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:54	3923/3923	---M--	200	added ('OK')	image/jpeg	etag:%22f53-5af0a8d0ee103%22	https://motaadmin.dexignlab.com/xhtml/images/avatar/3.jpg	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/images/avatar/3.jpg	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:54	4429/4429	---M--	200	added ('OK')	image/jpeg	etag:%22114d-5af0a8d182fd3%22	https://motaadmin.dexignlab.com/xhtml/images/avatar/4.jpg	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/images/avatar/4.jpg	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:54	4607/4607	---M--	200	added ('OK')	image/jpeg	etag:%2211ff-5af0a8d21719f%22	https://motaadmin.dexignlab.com/xhtml/images/avatar/5.jpg	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/images/avatar/5.jpg	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:55	90850/90850	---M-Z	200	added ('OK')	text/html	etag:%22162e2-5b26b72b50361-gzip%22	https://motaadmin.dexignlab.com/xhtml/index-2.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/index-2.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:55	76219/76219	---M-Z	200	added ('OK')	text/html	etag:%22129bb-5b26b718731ab-gzip%22	https://motaadmin.dexignlab.com/xhtml/index-3.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/index-3.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:55	76221/76221	---M-Z	200	added ('OK')	text/html	etag:%22129bd-5b26b71906671-gzip%22	https://motaadmin.dexignlab.com/xhtml/index-4.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/index-4.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:56	98612/98612	---M-Z	200	added ('OK')	text/html	etag:%2218134-5b26b71a526f3-gzip%22	https://motaadmin.dexignlab.com/xhtml/app-profile.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/app-profile.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:56	79534/79534	---M-Z	200	added ('OK')	text/html	etag:%22136ae-5b26b72353f03-gzip%22	https://motaadmin.dexignlab.com/xhtml/email-compose.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/email-compose.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:56	108266/108266	---M-Z	200	added ('OK')	text/html	etag:%221a6ea-5b26b724118de-gzip%22	https://motaadmin.dexignlab.com/xhtml/email-inbox.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/email-inbox.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:57	82772/82772	---M-Z	200	added ('OK')	text/html	etag:%2214354-5b26b724bd444-gzip%22	https://motaadmin.dexignlab.com/xhtml/email-read.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/email-read.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
